20191001 013600;1.089100;1.089130;1.089090;1.089120;0
20191001 013700;1.089120;1.089120;1.089060;1.089080;0
20191001 013800;1.089080;1.089080;1.088980;1.088990;0
20191001 013900;1.088990;1.089000;1.088910;1.088920;0
20191001 014000;1.088930;1.088930;1.088810;1.088840;0
20191001 014100;1.088840;1.088840;1.088810;1.088830;0
20191001 014200;1.088850;1.088920;1.088790;1.088910;0
20191001 014300;1.088920;1.088980;1.088920;1.088950;0
20191001 014400;1.088960;1.089070;1.088950;1.088970;0
20191001 014500;1.088970;1.088990;1.088900;1.088920;0
20191001 014600;1.088920;1.088920;1.088870;1.088870;0
20191001 014700;1.088880;1.088930;1.088870;1.088920;0
20191001 014800;1.088930;1.088970;1.088860;1.088920;0
20191001 014900;1.088920;1.088950;1.088830;1.088840;0
20191001 015000;1.088840;1.088890;1.088830;1.088890;0
20191001 015100;1.088880;1.088930;1.088860;1.088920;0
20191001 015200;1.088910;1.088910;1.088760;1.088770;0
20191001 015300;1.088780;1.088870;1.088740;1.088770;0
20191001 015400;1.088770;1.088810;1.088750;1.088780;0
20191001 015500;1.088760;1.088770;1.088720;1.088760;0
20191001 015600;1.088760;1.088810;1.088760;1.088810;0
20191001 015700;1.088820;1.088880;1.088820;1.088820;0
20191001 015800;1.088830;1.088860;1.088800;1.088860;0
20191001 015900;1.088860;1.088920;1.088830;1.088900;0
20191001 020000;1.088910;1.088920;1.088870;1.088910;0
20191001 020100;1.088910;1.088980;1.088890;1.088900;0
20191001 020200;1.088910;1.089060;1.088890;1.088970;0
20191001 020300;1.088970;1.088990;1.088900;1.088900;0
20191001 020400;1.088890;1.088940;1.088870;1.088930;0
20191001 020500;1.088940;1.088940;1.088710;1.088710;0
20191001 020600;1.088710;1.088810;1.088660;1.088790;0
20191001 020700;1.088770;1.088770;1.088560;1.088590;0
20191001 020800;1.088590;1.088600;1.088440;1.088490;0
20191001 020900;1.088500;1.088500;1.088380;1.088420;0
20191001 021000;1.088420;1.088520;1.088350;1.088350;0
20191001 021100;1.088350;1.088370;1.088310;1.088350;0
20191001 021200;1.088350;1.088370;1.088300;1.088320;0
20191001 021300;1.088310;1.088360;1.088300;1.088300;0
20191001 021400;1.088300;1.088320;1.088200;1.088240;0
20191001 021500;1.088250;1.088250;1.088200;1.088210;0
20191001 021600;1.088200;1.088280;1.088120;1.088190;0
20191001 021700;1.088220;1.088220;1.088090;1.088090;0
20191001 021800;1.088100;1.088170;1.088090;1.088110;0
20191001 021900;1.088120;1.088200;1.088120;1.088180;0
20191001 022000;1.088170;1.088180;1.088090;1.088090;0
20191001 022100;1.088080;1.088120;1.088070;1.088110;0
20191001 022200;1.088110;1.088130;1.088070;1.088110;0
20191001 022300;1.088120;1.088180;1.088080;1.088150;0
20191001 022400;1.088140;1.088160;1.088100;1.088150;0
20191001 022500;1.088150;1.088310;1.088130;1.088280;0
20191001 022600;1.088290;1.088340;1.088280;1.088320;0
20191001 022700;1.088310;1.088320;1.088280;1.088320;0
20191001 022800;1.088320;1.088370;1.088290;1.088360;0
20191001 022900;1.088360;1.088410;1.088360;1.088390;0
20191001 023000;1.088390;1.088470;1.088390;1.088460;0
20191001 023100;1.088470;1.088580;1.088470;1.088560;0
20191001 023200;1.088570;1.088600;1.088520;1.088520;0
20191001 023300;1.088520;1.088580;1.088470;1.088500;0
20191001 023400;1.088500;1.088500;1.088360;1.088460;0
20191001 023500;1.088460;1.088550;1.088450;1.088540;0
20191001 023600;1.088520;1.088550;1.088410;1.088460;0
20191001 023700;1.088460;1.088490;1.088310;1.088310;0
20191001 023800;1.088310;1.088500;1.088280;1.088440;0
20191001 023900;1.088450;1.088460;1.088340;1.088370;0
20191001 024000;1.088380;1.088440;1.088350;1.088410;0
20191001 024100;1.088420;1.088470;1.088400;1.088450;0
20191001 024200;1.088460;1.088580;1.088460;1.088570;0
20191001 024300;1.088580;1.088630;1.088520;1.088570;0
20191001 024400;1.088570;1.088620;1.088570;1.088590;0
20191001 024500;1.088590;1.088590;1.088480;1.088580;0
20191001 024600;1.088580;1.088620;1.088540;1.088610;0
20191001 024700;1.088610;1.088770;1.088610;1.088730;0
20191001 024800;1.088740;1.088770;1.088580;1.088630;0
20191001 024900;1.088650;1.088820;1.088650;1.088730;0
20191001 025000;1.088720;1.088780;1.088700;1.088770;0
20191001 025100;1.088760;1.088820;1.088730;1.088820;0
20191001 025200;1.088830;1.088830;1.088730;1.088780;0
20191001 025300;1.088770;1.088780;1.088580;1.088580;0
20191001 025400;1.088580;1.088600;1.088470;1.088500;0
20191001 025500;1.088500;1.088590;1.088460;1.088470;0
20191001 025600;1.088480;1.088500;1.088310;1.088320;0
20191001 025700;1.088310;1.088380;1.088170;1.088210;0
20191001 025800;1.088210;1.088210;1.088090;1.088110;0
20191001 025900;1.088110;1.088160;1.087900;1.088040;0
20191001 030000;1.088030;1.088540;1.088030;1.088500;0
20191001 030100;1.088510;1.088570;1.088410;1.088410;0
20191001 030200;1.088410;1.088610;1.088410;1.088610;0
20191001 030300;1.088600;1.088610;1.088420;1.088460;0
20191001 030400;1.088450;1.088510;1.088430;1.088490;0
20191001 030500;1.088470;1.088590;1.088460;1.088550;0
20191001 030600;1.088550;1.088740;1.088550;1.088730;0
20191001 030700;1.088720;1.088980;1.088720;1.088960;0
20191001 030800;1.088960;1.089290;1.088960;1.089260;0
20191001 030900;1.089260;1.089260;1.089080;1.089100;0
20191001 031000;1.089110;1.089400;1.089110;1.089320;0
20191001 031100;1.089310;1.089330;1.089110;1.089130;0
20191001 031200;1.089130;1.089340;1.089110;1.089190;0
20191001 031300;1.089170;1.089190;1.089060;1.089060;0
20191001 031400;1.089070;1.089080;1.088980;1.089010;0
20191001 031500;1.089020;1.089020;1.088920;1.088960;0
20191001 031600;1.088950;1.089030;1.088890;1.089010;0
20191001 031700;1.089000;1.089020;1.088610;1.088620;0
20191001 031800;1.088630;1.088740;1.088610;1.088720;0
20191001 031900;1.088710;1.088870;1.088690;1.088830;0
20191001 032000;1.088810;1.088970;1.088810;1.088900;0
20191001 032100;1.088890;1.088970;1.088890;1.088960;0
20191001 032200;1.088970;1.089020;1.088940;1.088960;0
20191001 032300;1.088960;1.089010;1.088880;1.088880;0
20191001 032400;1.088890;1.088940;1.088880;1.088920;0
20191001 032500;1.088930;1.089140;1.088900;1.089110;0
20191001 032600;1.089120;1.089120;1.088870;1.088930;0
20191001 032700;1.088940;1.088950;1.088750;1.088920;0
20191001 032800;1.088940;1.089130;1.088880;1.088950;0
20191001 032900;1.088960;1.089060;1.088820;1.089010;0
20191001 033000;1.089010;1.089050;1.088720;1.088770;0
20191001 033100;1.088780;1.089140;1.088780;1.089140;0
20191001 033200;1.089130;1.089150;1.088870;1.088870;0
20191001 033300;1.088880;1.088950;1.088760;1.088760;0
20191001 033400;1.088760;1.088930;1.088760;1.088830;0
20191001 033500;1.088820;1.088930;1.088760;1.088770;0
20191001 033600;1.088770;1.088870;1.088730;1.088780;0
20191001 033700;1.088770;1.088820;1.088700;1.088760;0
20191001 033800;1.088760;1.088800;1.088570;1.088610;0
20191001 033900;1.088610;1.088620;1.088410;1.088410;0
20191001 034000;1.088420;1.088580;1.088420;1.088510;0
20191001 034100;1.088510;1.088680;1.088510;1.088670;0
20191001 034200;1.088670;1.088840;1.088660;1.088790;0
20191001 034300;1.088760;1.088760;1.088560;1.088690;0
20191001 034400;1.088680;1.088690;1.088430;1.088460;0
20191001 034500;1.088460;1.088530;1.088400;1.088520;0
20191001 034600;1.088520;1.088610;1.088440;1.088470;0
20191001 034700;1.088460;1.088570;1.088430;1.088570;0
20191001 034800;1.088570;1.088630;1.088550;1.088590;0
20191001 034900;1.088610;1.088720;1.088600;1.088700;0
20191001 035000;1.088710;1.088710;1.088550;1.088610;0
20191001 035100;1.088610;1.088630;1.088400;1.088480;0
20191001 035200;1.088480;1.088560;1.088480;1.088490;0
20191001 035300;1.088480;1.088510;1.088440;1.088500;0
20191001 035400;1.088500;1.088690;1.088460;1.088520;0
20191001 035500;1.088510;1.088770;1.088450;1.088620;0
20191001 035600;1.088630;1.088680;1.088620;1.088640;0
20191001 035700;1.088630;1.088690;1.088590;1.088640;0
20191001 035800;1.088640;1.088700;1.088600;1.088650;0
20191001 035900;1.088660;1.088770;1.088620;1.088750;0
20191001 040000;1.088790;1.088990;1.088790;1.088990;0
20191001 040100;1.088990;1.089140;1.088960;1.089060;0
20191001 040200;1.089080;1.089100;1.088990;1.089100;0
20191001 040300;1.089090;1.089160;1.089010;1.089120;0
20191001 040400;1.089110;1.089120;1.089050;1.089050;0
20191001 040500;1.089080;1.089240;1.089060;1.089200;0
20191001 040600;1.089200;1.089250;1.089060;1.089080;0
20191001 040700;1.089080;1.089160;1.089000;1.089000;0
20191001 040800;1.089000;1.089110;1.089000;1.089050;0
20191001 040900;1.089040;1.089110;1.088880;1.088880;0
20191001 041000;1.088880;1.088910;1.088660;1.088900;0
20191001 041100;1.088900;1.088900;1.088510;1.088760;0
20191001 041200;1.088760;1.088850;1.088700;1.088750;0
20191001 041300;1.088750;1.088850;1.088730;1.088800;0
20191001 041400;1.088800;1.088820;1.088590;1.088600;0
20191001 041500;1.088590;1.088610;1.088510;1.088550;0
20191001 041600;1.088550;1.088770;1.088550;1.088770;0
20191001 041700;1.088780;1.088820;1.088620;1.088820;0
20191001 041800;1.088850;1.088870;1.088580;1.088640;0
20191001 041900;1.088640;1.088830;1.088600;1.088820;0
20191001 042000;1.088840;1.088980;1.088800;1.088900;0
20191001 042100;1.088900;1.089090;1.088860;1.089020;0
20191001 042200;1.089020;1.089070;1.088800;1.089060;0
20191001 042300;1.089050;1.089070;1.088800;1.088910;0
20191001 042400;1.088900;1.088940;1.088830;1.088920;0
20191001 042500;1.088910;1.089100;1.088890;1.089090;0
20191001 042600;1.089100;1.089130;1.088990;1.089100;0
20191001 042700;1.089100;1.089270;1.089100;1.089250;0
20191001 042800;1.089230;1.089230;1.089190;1.089210;0
20191001 042900;1.089210;1.089240;1.089160;1.089170;0
20191001 043000;1.089200;1.089260;1.089160;1.089180;0
20191001 043100;1.089170;1.089260;1.089110;1.089260;0
20191001 043200;1.089240;1.089270;1.089180;1.089210;0
20191001 043300;1.089210;1.089240;1.089100;1.089150;0
20191001 043400;1.089140;1.089160;1.089030;1.089110;0
20191001 043500;1.089110;1.089160;1.088990;1.089150;0
20191001 043600;1.089150;1.089170;1.088940;1.088940;0
20191001 043700;1.088960;1.089040;1.088920;1.088940;0
20191001 043800;1.088940;1.089040;1.088880;1.089000;0
20191001 043900;1.089010;1.089160;1.089000;1.089140;0
20191001 044000;1.089160;1.089160;1.089000;1.089000;0
20191001 044100;1.089010;1.089110;1.089010;1.089070;0
20191001 044200;1.089070;1.089310;1.089050;1.089300;0
20191001 044300;1.089310;1.089410;1.089290;1.089370;0
20191001 044400;1.089370;1.089400;1.089340;1.089350;0
20191001 044500;1.089350;1.089390;1.089120;1.089150;0
20191001 044600;1.089150;1.089240;1.089140;1.089240;0
20191001 044700;1.089250;1.089300;1.089100;1.089150;0
20191001 044800;1.089150;1.089210;1.088890;1.089080;0
20191001 044900;1.089090;1.089250;1.089090;1.089180;0
20191001 045000;1.089170;1.089270;1.089080;1.089240;0
20191001 045100;1.089240;1.089400;1.089240;1.089380;0
20191001 045200;1.089380;1.089400;1.089330;1.089400;0
20191001 045300;1.089400;1.089470;1.089380;1.089460;0
20191001 045400;1.089460;1.089460;1.089270;1.089300;0
20191001 045500;1.089300;1.089420;1.089270;1.089400;0
20191001 045600;1.089400;1.089450;1.089330;1.089440;0
20191001 045700;1.089430;1.089540;1.089410;1.089520;0
20191001 045800;1.089530;1.089530;1.089380;1.089410;0
20191001 045900;1.089400;1.089410;1.089280;1.089320;0
20191001 050000;1.089370;1.089440;1.089230;1.089310;0
20191001 050100;1.089310;1.089560;1.089300;1.089540;0
20191001 050200;1.089540;1.089550;1.089370;1.089380;0
20191001 050300;1.089380;1.089630;1.089310;1.089630;0
20191001 050400;1.089630;1.089720;1.089560;1.089650;0
20191001 050500;1.089650;1.089690;1.089580;1.089590;0
20191001 050600;1.089590;1.089590;1.089530;1.089530;0
20191001 050700;1.089550;1.089640;1.089510;1.089630;0
20191001 050800;1.089640;1.089650;1.089590;1.089640;0
20191001 050900;1.089630;1.089720;1.089580;1.089690;0
20191001 051000;1.089700;1.089800;1.089660;1.089710;0
20191001 051100;1.089720;1.089780;1.089690;1.089770;0
20191001 051200;1.089760;1.089980;1.089750;1.089980;0
20191001 051300;1.089970;1.090040;1.089880;1.089880;0
20191001 051400;1.089900;1.089900;1.089790;1.089820;0
20191001 051500;1.089820;1.089840;1.089740;1.089740;0
20191001 051600;1.089740;1.089800;1.089710;1.089800;0
20191001 051700;1.089790;1.089810;1.089700;1.089800;0
20191001 051800;1.089800;1.089810;1.089600;1.089600;0
20191001 051900;1.089600;1.089600;1.089530;1.089600;0
20191001 052000;1.089590;1.089890;1.089590;1.089880;0
20191001 052100;1.089880;1.089890;1.089740;1.089750;0
20191001 052200;1.089750;1.089800;1.089590;1.089590;0
20191001 052300;1.089630;1.089700;1.089620;1.089680;0
20191001 052400;1.089680;1.089700;1.089540;1.089540;0
20191001 052500;1.089540;1.089860;1.089510;1.089850;0
20191001 052600;1.089850;1.089970;1.089750;1.089760;0
20191001 052700;1.089760;1.089790;1.089710;1.089740;0
20191001 052800;1.089740;1.089780;1.089710;1.089740;0
20191001 052900;1.089740;1.089840;1.089730;1.089830;0
20191001 053000;1.089830;1.089890;1.089730;1.089730;0
20191001 053100;1.089730;1.089800;1.089730;1.089790;0
20191001 053200;1.089800;1.089870;1.089750;1.089770;0
20191001 053300;1.089770;1.089780;1.089740;1.089750;0
20191001 053400;1.089750;1.089790;1.089730;1.089780;0
20191001 053500;1.089770;1.089780;1.089720;1.089740;0
20191001 053600;1.089740;1.089750;1.089680;1.089720;0
20191001 053700;1.089730;1.089780;1.089660;1.089710;0
20191001 053800;1.089720;1.090170;1.089720;1.090000;0
20191001 053900;1.090000;1.090040;1.089950;1.089960;0
20191001 054000;1.089960;1.089970;1.089900;1.089930;0
20191001 054100;1.089950;1.089950;1.089790;1.089900;0
20191001 054200;1.089890;1.089990;1.089850;1.089860;0
20191001 054300;1.089860;1.089860;1.089750;1.089780;0
20191001 054400;1.089800;1.089800;1.089770;1.089780;0
20191001 054500;1.089790;1.089830;1.089720;1.089730;0
20191001 054600;1.089730;1.089740;1.089620;1.089620;0
20191001 054700;1.089630;1.089680;1.089530;1.089560;0
20191001 054800;1.089590;1.089680;1.089580;1.089620;0
20191001 054900;1.089620;1.089630;1.089580;1.089590;0
20191001 055000;1.089610;1.089630;1.089600;1.089610;0
20191001 055100;1.089610;1.089620;1.089500;1.089520;0
20191001 055200;1.089530;1.089700;1.089500;1.089690;0
20191001 055300;1.089690;1.089700;1.089630;1.089640;0
20191001 055400;1.089640;1.089640;1.089580;1.089580;0
20191001 055500;1.089580;1.089580;1.089490;1.089570;0
20191001 055600;1.089580;1.089580;1.089430;1.089470;0
20191001 055700;1.089470;1.089510;1.089380;1.089380;0
20191001 055800;1.089390;1.089400;1.089340;1.089370;0
20191001 055900;1.089360;1.089390;1.089350;1.089370;0
20191001 060000;1.089370;1.089430;1.089300;1.089320;0
20191001 060100;1.089310;1.089320;1.089170;1.089270;0
20191001 060200;1.089270;1.089440;1.089270;1.089430;0
20191001 060300;1.089430;1.089500;1.089420;1.089450;0
20191001 060400;1.089450;1.089510;1.089420;1.089430;0
20191001 060500;1.089430;1.089430;1.089370;1.089410;0
20191001 060600;1.089430;1.089440;1.089370;1.089380;0
20191001 060700;1.089390;1.089460;1.089380;1.089420;0
20191001 060800;1.089420;1.089480;1.089420;1.089470;0
20191001 060900;1.089460;1.089720;1.089460;1.089620;0
20191001 061000;1.089620;1.089620;1.089570;1.089580;0
20191001 061100;1.089580;1.089650;1.089570;1.089640;0
20191001 061200;1.089630;1.089780;1.089630;1.089730;0
20191001 061300;1.089730;1.089770;1.089720;1.089720;0
20191001 061400;1.089720;1.089730;1.089630;1.089660;0
20191001 061500;1.089680;1.089990;1.089680;1.089900;0
20191001 061600;1.089920;1.090040;1.089840;1.090030;0
20191001 061700;1.090040;1.090400;1.090020;1.090220;0
20191001 061800;1.090210;1.090220;1.090040;1.090190;0
20191001 061900;1.090180;1.090190;1.089980;1.089990;0
20191001 062000;1.089990;1.090080;1.089930;1.090070;0
20191001 062100;1.090060;1.090060;1.089760;1.089840;0
20191001 062200;1.089840;1.090260;1.089840;1.090160;0
20191001 062300;1.090170;1.090260;1.090120;1.090260;0
20191001 062400;1.090240;1.090260;1.090180;1.090250;0
20191001 062500;1.090230;1.090270;1.090220;1.090260;0
20191001 062600;1.090260;1.090420;1.090230;1.090420;0
20191001 062700;1.090420;1.090420;1.090110;1.090150;0
20191001 062800;1.090140;1.090280;1.090140;1.090200;0
20191001 062900;1.090200;1.090390;1.090170;1.090390;0
20191001 063000;1.090380;1.090440;1.090210;1.090220;0
20191001 063100;1.090220;1.090230;1.090180;1.090200;0
20191001 063200;1.090200;1.090200;1.090050;1.090060;0
20191001 063300;1.090050;1.090110;1.090000;1.090050;0
20191001 063400;1.090050;1.090070;1.090030;1.090050;0
20191001 063500;1.090060;1.090130;1.090020;1.090050;0
20191001 063600;1.090050;1.090090;1.090030;1.090080;0
20191001 063700;1.090080;1.090120;1.090030;1.090050;0
20191001 063800;1.090060;1.090150;1.090040;1.090140;0
20191001 063900;1.090140;1.090340;1.090140;1.090310;0
20191001 064000;1.090330;1.090380;1.090300;1.090310;0
20191001 064100;1.090310;1.090410;1.090300;1.090370;0
20191001 064200;1.090370;1.090560;1.090370;1.090480;0
20191001 064300;1.090480;1.090550;1.090370;1.090450;0
20191001 064400;1.090450;1.090510;1.090330;1.090450;0
20191001 064500;1.090440;1.090470;1.090270;1.090290;0
20191001 064600;1.090270;1.090290;1.090090;1.090190;0
20191001 064700;1.090180;1.090240;1.090140;1.090210;0
20191001 064800;1.090200;1.090290;1.090170;1.090260;0
20191001 064900;1.090260;1.090380;1.090180;1.090200;0
20191001 065000;1.090210;1.090210;1.090060;1.090120;0
20191001 065100;1.090120;1.090150;1.090040;1.090050;0
20191001 065200;1.090040;1.090200;1.090030;1.090150;0
20191001 065300;1.090160;1.090200;1.090080;1.090090;0
20191001 065400;1.090080;1.090090;1.089980;1.090060;0
20191001 065500;1.090070;1.090200;1.090060;1.090130;0
20191001 065600;1.090130;1.090130;1.090040;1.090090;0
20191001 065700;1.090090;1.090090;1.089940;1.090010;0
20191001 065800;1.090010;1.090100;1.089930;1.090090;0
20191001 065900;1.090090;1.090090;1.090010;1.090040;0
20191001 070000;1.090040;1.090240;1.090040;1.090240;0
20191001 070100;1.090230;1.090410;1.090220;1.090290;0
20191001 070200;1.090280;1.090390;1.090250;1.090360;0
20191001 070300;1.090370;1.090370;1.090150;1.090230;0
20191001 070400;1.090240;1.090340;1.090200;1.090310;0
20191001 070500;1.090330;1.090420;1.090300;1.090370;0
20191001 070600;1.090370;1.090390;1.090270;1.090290;0
20191001 070700;1.090280;1.090440;1.090250;1.090430;0
20191001 070800;1.090440;1.090480;1.090410;1.090440;0
20191001 070900;1.090440;1.090480;1.090410;1.090420;0
20191001 071000;1.090430;1.090440;1.090390;1.090420;0
20191001 071100;1.090420;1.090430;1.090230;1.090330;0
20191001 071200;1.090330;1.090350;1.090180;1.090300;0
20191001 071300;1.090300;1.090480;1.090300;1.090480;0
20191001 071400;1.090480;1.090770;1.090480;1.090640;0
20191001 071500;1.090630;1.090690;1.090570;1.090580;0
20191001 071600;1.090580;1.090620;1.090480;1.090540;0
20191001 071700;1.090540;1.090620;1.090530;1.090590;0
20191001 071800;1.090600;1.090610;1.090520;1.090610;0
20191001 071900;1.090600;1.090700;1.090600;1.090690;0
20191001 072000;1.090690;1.090740;1.090620;1.090690;0
20191001 072100;1.090690;1.090780;1.090630;1.090630;0
20191001 072200;1.090630;1.090640;1.090580;1.090580;0
20191001 072300;1.090590;1.090670;1.090580;1.090640;0
20191001 072400;1.090630;1.090680;1.090630;1.090630;0
20191001 072500;1.090630;1.090640;1.090530;1.090530;0
20191001 072600;1.090540;1.090720;1.090540;1.090710;0
20191001 072700;1.090710;1.090710;1.090660;1.090700;0
20191001 072800;1.090690;1.090710;1.090640;1.090690;0
20191001 072900;1.090700;1.090740;1.090690;1.090710;0
20191001 073000;1.090700;1.090760;1.090690;1.090700;0
20191001 073100;1.090700;1.090740;1.090680;1.090700;0
20191001 073200;1.090690;1.090720;1.090590;1.090590;0
20191001 073300;1.090600;1.090600;1.090460;1.090460;0
20191001 073400;1.090460;1.090470;1.090390;1.090400;0
20191001 073500;1.090400;1.090500;1.090390;1.090500;0
20191001 073600;1.090490;1.090490;1.090340;1.090400;0
20191001 073700;1.090400;1.090400;1.090290;1.090290;0
20191001 073800;1.090300;1.090500;1.090290;1.090390;0
20191001 073900;1.090390;1.090390;1.090300;1.090330;0
20191001 074000;1.090340;1.090380;1.090250;1.090260;0
20191001 074100;1.090270;1.090270;1.090190;1.090250;0
20191001 074200;1.090240;1.090250;1.090150;1.090160;0
20191001 074300;1.090170;1.090180;1.090000;1.090080;0
20191001 074400;1.090090;1.090150;1.090060;1.090090;0
20191001 074500;1.090100;1.090160;1.090090;1.090110;0
20191001 074600;1.090110;1.090160;1.090090;1.090160;0
20191001 074700;1.090150;1.090220;1.090120;1.090190;0
20191001 074800;1.090180;1.090220;1.090110;1.090140;0
20191001 074900;1.090140;1.090210;1.090120;1.090200;0
20191001 075000;1.090200;1.090200;1.090110;1.090140;0
20191001 075100;1.090140;1.090290;1.090120;1.090270;0
20191001 075200;1.090250;1.090250;1.090020;1.090030;0
20191001 075300;1.090030;1.090030;1.089860;1.089860;0
20191001 075400;1.089850;1.089890;1.089690;1.089690;0
20191001 075500;1.089690;1.089750;1.089560;1.089730;0
20191001 075600;1.089750;1.089900;1.089750;1.089880;0
20191001 075700;1.089880;1.090010;1.089860;1.089950;0
20191001 075800;1.089960;1.090140;1.089940;1.090060;0
20191001 075900;1.090080;1.090090;1.089780;1.089800;0
20191001 080000;1.089800;1.089890;1.089800;1.089850;0
20191001 080100;1.089850;1.089860;1.089720;1.089720;0
